0	14.54	10	16.5	20
1	14.03	10	16.5	20
2	14.28	10	16.5	20
3	14.28	10	16.5	20
4	14.28	10	16.5	20
5	14.54	10	16.5	20
6	14.54	10	16.5	20
7	14.79	10	16.5	20
8	14.28	10	16.5	20
9	14.03	10	16.5	20
10	14.28	10	16.5	20
11	14.54	10	16.5	20
12	14.28	10	16.5	20
13	15.05	10	16.5	20
14	14.54	10	16.5	20
15	14.79	10	16.5	20
16	14.79	10	16.5	20
17	14.54	10	16.5	20
18	14.03	10	16.5	20
19	14.79	10	16.5	20
20	14.54	20	59	80
21	14.54	20	59	80
22	14.54	20	59	80
23	14.54	20	59	80
24	14.79	20	59	80
25	14.79	20	59	80
26	15.05	20	59	80
27	14.54	20	59	80
28	14.28	20	59	80
29	14.54	20	59	80
30	14.79	20	59	80
31	15.05	20	59	80
32	15.05	20	59	80
33	15.05	20	59	80
34	15.05	20	59	80
35	15.05	20	59	80
36	14.54	20	59	80
37	15.05	20	59	80
38	14.79	20	59	80
39	15.05	20	59	80
40	15.56	30	109	147
41	15.56	30	109	147
42	15.3	30	109	147
43	15.56	30	109	147
44	15.3	30	109	147
45	14.79	30	109	147
46	15.3	30	109	147
47	15.56	30	109	147
48	15.56	30	109	147
49	16.07	30	109	147
50	15.56	30	109	147
51	15.3	30	109	147
52	15.56	30	109	147
53	15.3	30	109	147
54	15.3	30	109	147
55	15.56	30	109	147
56	15.56	30	109	147
57	16.07	30	109	147
58	15.56	30	109	147
59	15.3	30	109	147
60	15.81	40	147	200
61	15.56	40	147	200
62	15.81	40	147	200
63	16.07	40	147	200
64	15.81	40	147	200
65	15.56	40	147	200
66	15.81	40	147	200
67	16.07	40	147	200
68	16.32	40	147	200
69	16.07	40	147	200
70	15.81	40	147	200
71	16.07	40	147	200
72	16.07	40	147	200
73	16.07	40	147	200
74	15.81	40	147	200
75	16.07	40	147	200
76	16.07	40	147	200
77	16.32	40	147	200
78	16.07	40	147	200
79	16.07	40	147	200
80	15.81	50	197	274
81	16.07	50	197	274
82	16.58	50	197	274
83	16.07	50	197	274
84	16.32	50	197	274
85	16.58	50	197	274
86	16.58	50	197	274
87	16.07	50	197	274
88	16.32	50	197	274
89	16.58	50	197	274
90	16.58	50	197	274
91	16.58	50	197	274
92	16.58	50	197	274
93	16.58	50	197	274
94	16.32	50	197	274
95	16.58	50	197	274
96	16.32	50	197	274
97	17.09	50	197	274
98	16.07	50	197	274
99	17.09	50	197	274
100	16.58	60	250	348
101	16.58	60	250	348
102	16.83	60	250	348
103	16.83	60	250	348
104	16.32	60	250	348
105	16.58	60	250	348
106	16.58	60	250	348
107	16.58	60	250	348
108	16.83	60	250	348
109	16.83	60	250	348
110	17.09	60	250	348
111	16.58	60	250	348
112	16.83	60	250	348
113	17.09	60	250	348
114	16.83	60	250	348
115	16.83	60	250	348
116	16.58	60	250	348
117	16.83	60	250	348
118	16.58	60	250	348
119	16.83	60	250	348
120	17.34	70	309	420
121	17.09	70	309	420
122	17.85	70	309	420
123	16.58	70	309	420
124	17.34	70	309	420
125	17.09	70	309	420
126	17.34	70	309	420
127	16.83	70	309	420
128	16.83	70	309	420
129	17.6	70	309	420
130	17.09	70	309	420
131	18.11	70	309	420
132	17.09	70	309	420
133	16.83	70	309	420
134	17.6	70	309	420
135	17.34	70	309	420
136	16.58	70	309	420
137	16.83	70	309	420
138	17.6	70	309	420
139	17.34	70	309	420
140	17.09	80	365	493
141	17.6	80	365	493
142	17.85	80	365	493
143	17.6	80	365	493
144	17.6	80	365	493
145	17.85	80	365	493
146	17.34	80	365	493
147	18.11	80	365	493
148	17.6	80	365	493
149	18.11	80	365	493
150	17.85	80	365	493
151	17.34	80	365	493
152	17.34	80	365	493
153	17.34	80	365	493
154	17.85	80	365	493
155	17.85	80	365	493
156	18.36	80	365	493
157	17.34	80	365	493
158	17.6	80	365	493
159	18.11	80	365	493
160	17.6	90	417	563
161	17.85	90	417	563
162	18.87	90	417	563
163	18.11	90	417	563
164	18.36	90	417	563
165	17.6	90	417	563
166	17.34	90	417	563
167	17.85	90	417	563
168	18.11	90	417	563
169	18.36	90	417	563
170	17.85	90	417	563
171	17.85	90	417	563
172	17.85	90	417	563
173	17.85	90	417	563
174	18.11	90	417	563
175	18.11	90	417	563
176	17.85	90	417	563
177	18.36	90	417	563
178	17.85	90	417	563
179	18.36	90	417	563
180	18.36	100	469	650
181	18.62	100	469	650
182	18.87	100	469	650
183	18.11	100	469	650
184	18.11	100	469	650
185	18.62	100	469	650
186	18.36	100	469	650
187	19.13	100	469	650
188	18.11	100	469	650
189	18.36	100	469	650
190	18.87	100	469	650
191	18.62	100	469	650
192	17.85	100	469	650
193	19.13	100	469	650
194	18.62	100	469	650
195	18.62	100	469	650
196	18.36	100	469	650
197	18.36	100	469	650
198	19.13	100	469	650
199	18.87	100	469	650
200	19.38	110	520	722
201	18.87	110	520	722
202	18.62	110	520	722
203	18.87	110	520	722
204	18.62	110	520	722
205	18.62	110	520	722
206	18.36	110	520	722
207	18.62	110	520	722
208	19.13	110	520	722
209	18.36	110	520	722
210	19.38	110	520	722
211	18.87	110	520	722
212	18.36	110	520	722
213	19.38	110	520	722
214	18.62	110	520	722
215	18.87	110	520	722
216	19.38	110	520	722
217	19.13	110	520	722
218	19.38	110	520	722
219	19.13	110	520	722
220	19.64	120	570	770
221	19.13	120	570	770
222	18.62	120	570	770
223	18.87	120	570	770
224	19.38	120	570	770
225	19.38	120	570	770
226	18.87	120	570	770
227	19.13	120	570	770
228	19.64	120	570	770
229	19.38	120	570	770
230	19.64	120	570	770
231	19.13	120	570	770
232	19.64	120	570	770
233	18.62	120	570	770
234	18.87	120	570	770
235	19.38	120	570	770
236	19.64	120	570	770
237	19.13	120	570	770
238	19.64	120	570	770
239	19.13	120	570	770
240	19.13	120	570	770
