0	20.15	10	5.1	20
1	20.15	10	5.1	20
2	20.15	10	5.1	20
3	20.15	10	5.1	20
4	19.89	10	5.1	20
5	20.15	10	5.1	20
6	20.15	10	5.1	20
7	19.89	10	5.1	20
8	20.4	10	5.1	20
9	20.15	10	5.1	20
10	20.66	10	5.1	20
11	20.66	10	5.1	20
12	20.4	10	5.1	20
13	20.4	10	5.1	20
14	20.4	10	5.1	20
15	20.66	10	5.1	20
16	19.89	10	5.1	20
17	20.15	10	5.1	20
18	20.15	10	5.1	20
19	20.66	10	5.1	20
20	20.15	20	24.4	80
21	20.66	20	24.4	80
22	20.4	20	24.4	80
23	20.66	20	24.4	80
24	20.15	20	24.4	80
25	20.92	20	24.4	80
26	20.4	20	24.4	80
27	21.17	20	24.4	80
28	21.17	20	24.4	80
29	21.17	20	24.4	80
30	21.17	20	24.4	80
31	20.92	20	24.4	80
32	20.66	20	24.4	80
33	20.92	20	24.4	80
34	20.92	20	24.4	80
35	20.66	20	24.4	80
36	20.92	20	24.4	80
37	20.92	20	24.4	80
38	21.17	20	24.4	80
39	20.92	20	24.4	80
40	20.92	30	46	147
41	20.92	30	46	147
42	21.17	30	46	147
43	21.17	30	46	147
44	21.43	30	46	147
45	21.68	30	46	147
46	21.43	30	46	147
47	21.68	30	46	147
48	21.43	30	46	147
49	21.68	30	46	147
50	21.43	30	46	147
51	21.43	30	46	147
52	21.94	30	46	147
53	21.43	30	46	147
54	21.17	30	46	147
55	21.43	30	46	147
56	21.17	30	46	147
57	21.68	30	46	147
58	21.43	30	46	147
59	21.68	30	46	147
60	21.68	40	61	200
61	21.43	40	61	200
62	21.17	40	61	200
63	21.68	40	61	200
64	21.68	40	61	200
65	21.43	40	61	200
66	21.68	40	61	200
67	21.68	40	61	200
68	21.68	40	61	200
69	21.94	40	61	200
70	21.94	40	61	200
71	21.94	40	61	200
72	21.68	40	61	200
73	21.94	40	61	200
74	21.94	40	61	200
75	21.17	40	61	200
76	21.94	40	61	200
77	22.19	40	61	200
78	22.45	40	61	200
79	21.94	40	61	200
80	21.68	50	84	274
81	22.19	50	84	274
82	21.94	50	84	274
83	21.94	50	84	274
84	22.19	50	84	274
85	22.19	50	84	274
86	22.7	50	84	274
87	22.19	50	84	274
88	22.45	50	84	274
89	22.19	50	84	274
90	22.19	50	84	274
91	22.19	50	84	274
92	21.94	50	84	274
93	22.7	50	84	274
94	22.7	50	84	274
95	22.19	50	84	274
96	22.45	50	84	274
97	22.7	50	84	274
98	23.21	50	84	274
99	22.7	50	84	274
100	22.45	60	108	348
101	22.96	60	108	348
102	23.21	60	108	348
103	22.96	60	108	348
104	22.96	60	108	348
105	23.21	60	108	348
106	23.21	60	108	348
107	22.96	60	108	348
108	23.21	60	108	348
109	22.45	60	108	348
110	22.7	60	108	348
111	23.21	60	108	348
112	22.96	60	108	348
113	22.96	60	108	348
114	23.21	60	108	348
115	22.96	60	108	348
116	23.21	60	108	348
117	23.21	60	108	348
118	22.96	60	108	348
119	23.21	60	108	348
120	23.47	70	131	420
121	23.21	70	131	420
122	23.47	70	131	420
123	23.47	70	131	420
124	22.7	70	131	420
125	23.98	70	131	420
126	22.96	70	131	420
127	23.72	70	131	420
128	23.47	70	131	420
129	23.72	70	131	420
130	23.98	70	131	420
131	23.72	70	131	420
132	23.47	70	131	420
133	23.72	70	131	420
134	23.21	70	131	420
135	23.21	70	131	420
136	23.21	70	131	420
137	23.98	70	131	420
138	23.98	70	131	420
139	23.72	70	131	420
140	23.72	80	155	493
141	24.23	80	155	493
142	23.98	80	155	493
143	23.98	80	155	493
144	23.47	80	155	493
145	23.98	80	155	493
146	24.23	80	155	493
147	24.23	80	155	493
148	23.98	80	155	493
149	24.23	80	155	493
150	23.98	80	155	493
151	23.98	80	155	493
152	24.23	80	155	493
153	24.23	80	155	493
154	24.49	80	155	493
155	24.49	80	155	493
156	24.49	80	155	493
157	24.23	80	155	493
158	24.74	80	155	493
159	24.49	80	155	493
160	24.49	90	179	563
161	25	90	179	563
162	25	90	179	563
163	24.49	90	179	563
164	24.74	90	179	563
165	25	90	179	563
166	25	90	179	563
167	25.25	90	179	563
168	24.74	90	179	563
169	25	90	179	563
170	24.74	90	179	563
171	24.74	90	179	563
172	24.49	90	179	563
173	24.74	90	179	563
174	25	90	179	563
175	25.25	90	179	563
176	25	90	179	563
177	25.25	90	179	563
178	25.25	90	179	563
179	25.25	90	179	563
180	25	100	202	650
181	25.25	100	202	650
182	25.51	100	202	650
183	25.51	100	202	650
184	25.51	100	202	650
185	24.74	100	202	650
186	25.76	100	202	650
187	25.51	100	202	650
188	25.51	100	202	650
189	25.51	100	202	650
190	25	100	202	650
191	25.25	100	202	650
192	25.51	100	202	650
193	26.02	100	202	650
194	25.76	100	202	650
195	25.76	100	202	650
196	26.02	100	202	650
197	25.25	100	202	650
198	26.02	100	202	650
199	26.02	100	202	650
200	25.51	110	224	722
201	26.53	110	224	722
202	25.51	110	224	722
203	26.53	110	224	722
204	26.27	110	224	722
205	26.27	110	224	722
206	26.53	110	224	722
207	26.27	110	224	722
208	26.78	110	224	722
209	26.27	110	224	722
210	26.02	110	224	722
211	26.53	110	224	722
212	25.76	110	224	722
213	26.53	110	224	722
214	26.53	110	224	722
215	26.78	110	224	722
216	26.53	110	224	722
217	26.78	110	224	722
218	26.78	110	224	722
219	26.78	110	224	722
220	26.78	120	246	770
221	27.29	120	246	770
222	27.04	120	246	770
223	27.04	120	246	770
224	26.27	120	246	770
225	26.78	120	246	770
226	27.29	120	246	770
227	27.04	120	246	770
228	26.78	120	246	770
229	26.78	120	246	770
230	27.29	120	246	770
231	27.29	120	246	770
232	27.04	120	246	770
233	27.04	120	246	770
234	26.78	120	246	770
235	27.55	120	246	770
236	27.55	120	246	770
237	27.8	120	246	770
238	27.8	120	246	770
239	27.8	120	246	770
