0	18.11	10	13.6	20
1	18.11	10	13.6	20
2	18.36	10	13.6	20
3	17.85	10	13.6	20
4	17.85	10	13.6	20
5	18.62	10	13.6	20
6	18.36	10	13.6	20
7	18.11	10	13.6	20
8	18.62	10	13.6	20
9	18.11	10	13.6	20
10	18.62	10	13.6	20
11	18.62	10	13.6	20
12	18.11	10	13.6	20
13	18.36	10	13.6	20
14	17.85	10	13.6	20
15	18.62	10	13.6	20
16	18.62	10	13.6	20
17	18.11	10	13.6	20
18	18.36	10	13.6	20
19	18.11	10	13.6	20
20	18.62	20	46.7	80
21	18.87	20	46.7	80
22	18.62	20	46.7	80
23	18.36	20	46.7	80
24	18.36	20	46.7	80
25	18.62	20	46.7	80
26	18.87	20	46.7	80
27	19.13	20	46.7	80
28	19.38	20	46.7	80
29	18.87	20	46.7	80
30	19.13	20	46.7	80
31	18.87	20	46.7	80
32	19.64	20	46.7	80
33	19.38	20	46.7	80
34	19.13	20	46.7	80
35	19.38	20	46.7	80
36	18.87	20	46.7	80
37	19.13	20	46.7	80
38	18.87	20	46.7	80
39	18.11	20	46.7	80
40	19.13	30	85.1	147
41	18.87	30	85.1	147
42	19.38	30	85.1	147
43	19.38	30	85.1	147
44	19.64	30	85.1	147
45	19.64	30	85.1	147
46	19.89	30	85.1	147
47	19.38	30	85.1	147
48	20.15	30	85.1	147
49	19.38	30	85.1	147
50	19.64	30	85.1	147
51	19.64	30	85.1	147
52	20.15	30	85.1	147
53	20.15	30	85.1	147
54	20.15	30	85.1	147
55	19.64	30	85.1	147
56	19.89	30	85.1	147
57	20.15	30	85.1	147
58	19.89	30	85.1	147
59	20.15	30	85.1	147
60	20.15	40	114	200
61	19.89	40	114	200
62	20.4	40	114	200
63	20.66	40	114	200
64	20.66	40	114	200
65	19.89	40	114	200
66	20.66	40	114	200
67	20.4	40	114	200
68	20.15	40	114	200
69	20.66	40	114	200
70	20.66	40	114	200
71	20.66	40	114	200
72	20.15	40	114	200
73	20.66	40	114	200
74	20.4	40	114	200
75	20.15	40	114	200
76	20.66	40	114	200
77	20.66	40	114	200
78	20.4	40	114	200
79	20.4	40	114	200
80	20.15	50	155	274
81	20.92	50	155	274
82	20.92	50	155	274
83	20.66	50	155	274
84	20.92	50	155	274
85	21.43	50	155	274
86	21.17	50	155	274
87	21.68	50	155	274
88	21.17	50	155	274
89	20.92	50	155	274
90	20.66	50	155	274
91	20.92	50	155	274
92	21.43	50	155	274
93	20.92	50	155	274
94	20.66	50	155	274
95	21.68	50	155	274
96	21.68	50	155	274
97	21.17	50	155	274
98	21.43	50	155	274
99	21.17	50	155	274
100	21.43	60	197	348
101	21.43	60	197	348
102	21.68	60	197	348
103	21.68	60	197	348
104	22.19	60	197	348
105	21.17	60	197	348
106	21.43	60	197	348
107	21.94	60	197	348
108	22.19	60	197	348
109	22.19	60	197	348
110	22.19	60	197	348
111	21.94	60	197	348
112	21.94	60	197	348
113	21.68	60	197	348
114	22.19	60	197	348
115	21.94	60	197	348
116	21.94	60	197	348
117	22.19	60	197	348
118	21.94	60	197	348
119	21.94	60	197	348
120	21.94	70	242	420
121	22.45	70	242	420
122	21.94	70	242	420
123	22.7	70	242	420
124	22.19	70	242	420
125	22.45	70	242	420
126	22.45	70	242	420
127	21.94	70	242	420
128	22.7	70	242	420
129	22.19	70	242	420
130	22.7	70	242	420
131	22.7	70	242	420
132	22.7	70	242	420
133	22.19	70	242	420
134	22.96	70	242	420
135	22.45	70	242	420
136	22.96	70	242	420
137	22.45	70	242	420
138	22.45	70	242	420
139	22.96	70	242	420
140	22.7	80	283	493
141	23.47	80	283	493
142	22.96	80	283	493
143	22.96	80	283	493
144	23.47	80	283	493
145	23.21	80	283	493
146	23.47	80	283	493
147	22.96	80	283	493
148	22.96	80	283	493
149	22.96	80	283	493
150	22.7	80	283	493
151	22.96	80	283	493
152	22.96	80	283	493
153	23.21	80	283	493
154	23.72	80	283	493
155	23.21	80	283	493
156	23.47	80	283	493
157	23.21	80	283	493
158	22.96	80	283	493
159	22.96	80	283	493
160	22.96	90	327	563
161	23.72	90	327	563
162	22.7	90	327	563
163	23.21	90	327	563
164	23.72	90	327	563
165	23.72	90	327	563
166	23.72	90	327	563
167	23.98	90	327	563
168	23.98	90	327	563
169	23.98	90	327	563
170	23.98	90	327	563
171	23.72	90	327	563
172	23.72	90	327	563
173	23.98	90	327	563
174	23.98	90	327	563
175	23.21	90	327	563
176	23.98	90	327	563
177	23.98	90	327	563
178	23.98	90	327	563
179	23.98	90	327	563
180	23.98	100	370	650
181	24.23	100	370	650
182	23.72	100	370	650
183	23.72	100	370	650
184	23.98	100	370	650
185	24.23	100	370	650
186	23.98	100	370	650
187	24.49	100	370	650
188	24.23	100	370	650
189	24.74	100	370	650
190	24.74	100	370	650
191	24.23	100	370	650
192	24.23	100	370	650
193	24.49	100	370	650
194	24.49	100	370	650
195	25.25	100	370	650
196	24.74	100	370	650
197	25	100	370	650
198	24.74	100	370	650
199	24.74	100	370	650
200	24.49	110	409	722
201	25.25	110	409	722
202	25.25	110	409	722
203	25	110	409	722
204	25	110	409	722
205	25.25	110	409	722
206	25.25	110	409	722
207	24.49	110	409	722
208	25.25	110	409	722
209	25	110	409	722
210	25.25	110	409	722
211	25	110	409	722
212	25	110	409	722
213	25	110	409	722
214	25.25	110	409	722
215	25.51	110	409	722
216	25.25	110	409	722
217	25.51	110	409	722
218	25.51	110	409	722
219	25.25	110	409	722
220	25.51	120	450	770
221	25.51	120	450	770
222	25.25	120	450	770
223	25.51	120	450	770
224	25.76	120	450	770
225	25.25	120	450	770
226	25.51	120	450	770
227	26.27	120	450	770
228	25.25	120	450	770
229	26.27	120	450	770
230	25.76	120	450	770
231	26.02	120	450	770
232	26.27	120	450	770
233	25.76	120	450	770
234	25.51	120	450	770
235	26.02	120	450	770
236	26.02	120	450	770
237	25.51	120	450	770
238	25.76	120	450	770
239	25.25	120	450	770
