0	22.45	10	20	20
1	22.19	10	20	20
2	21.94	10	20	20
3	21.94	10	20	20
4	21.94	10	20	20
5	21.68	10	20	20
6	21.68	10	20	20
7	21.94	10	20	20
8	22.19	10	20	20
9	21.94	10	20	20
10	22.19	10	20	20
11	21.94	10	20	20
12	22.19	10	20	20
13	22.19	10	20	20
14	22.19	10	20	20
15	22.45	10	20	20
16	21.68	10	20	20
17	21.94	10	20	20
18	21.94	10	20	20
19	21.94	10	20	20
20	22.45	20	72	80
21	22.19	20	72	80
22	21.94	20	72	80
23	21.94	20	72	80
24	22.19	20	72	80
25	21.43	20	72	80
26	22.19	20	72	80
27	22.19	20	72	80
28	21.94	20	72	80
29	22.45	20	72	80
30	22.45	20	72	80
31	22.19	20	72	80
32	21.43	20	72	80
33	21.68	20	72	80
34	21.94	20	72	80
35	22.45	20	72	80
36	22.45	20	72	80
37	21.68	20	72	80
38	21.68	20	72	80
39	22.19	20	72	80
40	21.68	30	132	147
41	22.7	30	132	147
42	22.45	30	132	147
43	21.43	30	132	147
44	22.45	30	132	147
45	22.45	30	132	147
46	22.45	30	132	147
47	22.19	30	132	147
48	22.19	30	132	147
49	22.19	30	132	147
50	22.19	30	132	147
51	22.45	30	132	147
52	22.45	30	132	147
53	22.19	30	132	147
54	22.45	30	132	147
55	21.68	30	132	147
56	22.19	30	132	147
57	22.19	30	132	147
58	22.19	30	132	147
59	21.68	30	132	147
60	22.45	40	179	200
61	22.7	40	179	200
62	21.94	40	179	200
63	22.7	40	179	200
64	22.7	40	179	200
65	22.19	40	179	200
66	22.19	40	179	200
67	22.45	40	179	200
68	22.45	40	179	200
69	21.94	40	179	200
70	22.45	40	179	200
71	21.94	40	179	200
72	22.7	40	179	200
73	22.45	40	179	200
74	22.45	40	179	200
75	21.94	40	179	200
76	22.45	40	179	200
77	22.7	40	179	200
78	22.19	40	179	200
79	22.45	40	179	200
80	22.45	50	242	274
81	22.45	50	242	274
82	22.96	50	242	274
83	21.94	50	242	274
84	22.7	50	242	274
85	22.45	50	242	274
86	22.45	50	242	274
87	22.19	50	242	274
88	22.45	50	242	274
89	22.45	50	242	274
90	22.19	50	242	274
91	21.94	50	242	274
92	22.45	50	242	274
93	22.45	50	242	274
94	22.45	50	242	274
95	21.94	50	242	274
96	22.7	50	242	274
97	22.45	50	242	274
98	22.45	50	242	274
99	22.45	50	242	274
100	22.45	60	305	348
101	22.7	60	305	348
102	22.7	60	305	348
103	22.96	60	305	348
104	22.45	60	305	348
105	22.96	60	305	348
106	22.45	60	305	348
107	22.45	60	305	348
108	22.45	60	305	348
109	22.45	60	305	348
110	22.7	60	305	348
111	22.7	60	305	348
112	22.19	60	305	348
113	22.19	60	305	348
114	22.45	60	305	348
115	22.45	60	305	348
116	22.7	60	305	348
117	22.7	60	305	348
118	22.45	60	305	348
119	22.45	60	305	348
120	22.96	70	369	420
121	22.96	70	369	420
122	22.45	70	369	420
123	22.7	70	369	420
124	22.19	70	369	420
125	22.7	70	369	420
126	22.45	70	369	420
127	22.96	70	369	420
128	22.7	70	369	420
129	22.7	70	369	420
130	22.19	70	369	420
131	22.7	70	369	420
132	22.45	70	369	420
133	22.7	70	369	420
134	22.7	70	369	420
135	22.96	70	369	420
136	22.19	70	369	420
137	22.7	70	369	420
138	22.45	70	369	420
139	22.7	70	369	420
140	22.45	80	436	493
141	22.7	80	436	493
142	22.7	80	436	493
143	22.7	80	436	493
144	22.96	80	436	493
145	22.7	80	436	493
146	23.21	80	436	493
147	22.96	80	436	493
148	22.96	80	436	493
149	22.96	80	436	493
150	22.7	80	436	493
151	22.96	80	436	493
152	22.7	80	436	493
153	22.45	80	436	493
154	22.7	80	436	493
155	22.7	80	436	493
156	22.19	80	436	493
157	22.7	80	436	493
158	22.96	80	436	493
159	22.96	80	436	493
160	22.96	90	505	563
161	22.96	90	505	563
162	22.96	90	505	563
163	23.47	90	505	563
164	23.21	90	505	563
165	22.45	90	505	563
166	22.96	90	505	563
167	22.7	90	505	563
168	22.45	90	505	563
169	22.45	90	505	563
170	22.7	90	505	563
171	22.45	90	505	563
172	22.96	90	505	563
173	22.7	90	505	563
174	22.7	90	505	563
175	22.96	90	505	563
176	22.19	90	505	563
177	22.7	90	505	563
178	23.21	90	505	563
179	22.96	90	505	563
180	22.96	100	569	650
181	22.96	100	569	650
182	22.96	100	569	650
183	23.21	100	569	650
184	22.96	100	569	650
185	22.96	100	569	650
186	22.45	100	569	650
187	22.7	100	569	650
188	22.45	100	569	650
189	22.96	100	569	650
190	22.96	100	569	650
191	22.45	100	569	650
192	22.96	100	569	650
193	22.96	100	569	650
194	23.47	100	569	650
195	22.96	100	569	650
196	22.96	100	569	650
197	22.19	100	569	650
198	23.21	100	569	650
199	22.96	100	569	650
200	22.96	110	624	722
201	22.96	110	624	722
202	23.21	110	624	722
203	23.21	110	624	722
204	22.96	110	624	722
205	23.21	110	624	722
206	23.21	110	624	722
207	22.45	110	624	722
208	23.72	110	624	722
209	22.7	110	624	722
210	22.96	110	624	722
211	23.47	110	624	722
212	22.7	110	624	722
213	23.47	110	624	722
214	22.45	110	624	722
215	22.96	110	624	722
216	23.21	110	624	722
217	23.21	110	624	722
218	23.21	110	624	722
219	23.21	110	624	722
220	22.96	120	690	770
221	23.21	120	690	770
222	23.47	120	690	770
223	23.21	120	690	770
224	23.21	120	690	770
225	23.21	120	690	770
226	22.96	120	690	770
227	22.7	120	690	770
228	23.21	120	690	770
229	23.21	120	690	770
230	23.21	120	690	770
231	23.47	120	690	770
232	22.96	120	690	770
