0	19.64	10	8.6	20
1	19.13	10	8.6	20
2	19.89	10	8.6	20
3	19.64	10	8.6	20
4	19.38	10	8.6	20
5	19.38	10	8.6	20
6	19.38	10	8.6	20
7	19.38	10	8.6	20
8	19.64	10	8.6	20
9	19.89	10	8.6	20
10	19.64	10	8.6	20
11	19.89	10	8.6	20
12	19.64	10	8.6	20
13	19.64	10	8.6	20
14	19.64	10	8.6	20
15	19.64	10	8.6	20
16	19.89	10	8.6	20
17	19.89	10	8.6	20
18	19.89	10	8.6	20
19	19.38	10	8.6	20
20	19.64	20	37.5	80
21	20.66	20	37.5	80
22	20.4	20	37.5	80
23	20.4	20	37.5	80
24	20.15	20	37.5	80
25	20.4	20	37.5	80
26	20.15	20	37.5	80
27	20.66	20	37.5	80
28	20.92	20	37.5	80
29	20.4	20	37.5	80
30	20.92	20	37.5	80
31	20.66	20	37.5	80
32	20.92	20	37.5	80
33	21.17	20	37.5	80
34	20.66	20	37.5	80
35	20.92	20	37.5	80
36	20.4	20	37.5	80
37	20.4	20	37.5	80
38	21.17	20	37.5	80
39	20.92	20	37.5	80
40	20.92	30	69	147
41	21.17	30	69	147
42	21.68	30	69	147
43	21.68	30	69	147
44	21.68	30	69	147
45	22.19	30	69	147
46	21.68	30	69	147
47	21.94	30	69	147
48	21.94	30	69	147
49	21.94	30	69	147
50	22.19	30	69	147
51	22.19	30	69	147
52	21.68	30	69	147
53	22.19	30	69	147
54	21.94	30	69	147
55	22.19	30	69	147
56	21.94	30	69	147
57	22.19	30	69	147
58	21.94	30	69	147
59	21.94	30	69	147
60	21.68	40	93	200
61	22.45	40	93	200
62	22.7	40	93	200
63	22.7	40	93	200
64	22.7	40	93	200
65	22.19	40	93	200
66	22.7	40	93	200
67	22.19	40	93	200
68	22.19	40	93	200
69	22.7	40	93	200
70	22.7	40	93	200
71	22.7	40	93	200
72	22.96	40	93	200
73	22.7	40	93	200
74	22.7	40	93	200
75	22.7	40	93	200
76	22.96	40	93	200
77	22.7	40	93	200
78	22.96	40	93	200
79	22.96	40	93	200
80	22.96	50	127	274
81	23.47	50	127	274
82	23.21	50	127	274
83	23.72	50	127	274
84	23.47	50	127	274
85	23.72	50	127	274
86	24.23	50	127	274
87	23.72	50	127	274
88	23.47	50	127	274
89	23.47	50	127	274
90	23.72	50	127	274
91	23.72	50	127	274
92	23.72	50	127	274
93	23.47	50	127	274
94	23.47	50	127	274
95	23.21	50	127	274
96	23.72	50	127	274
97	23.98	50	127	274
98	23.21	50	127	274
99	23.98	50	127	274
100	23.72	60	161	348
101	24.49	60	161	348
102	24.23	60	161	348
103	25.25	60	161	348
104	24.23	60	161	348
105	24.49	60	161	348
106	24.74	60	161	348
107	24.49	60	161	348
108	24.49	60	161	348
109	24.23	60	161	348
110	24.23	60	161	348
111	25	60	161	348
112	24.23	60	161	348
113	24.74	60	161	348
114	25	60	161	348
115	24.74	60	161	348
116	25	60	161	348
117	25	60	161	348
118	24.49	60	161	348
119	24.74	60	161	348
120	25	70	196	420
121	25.51	70	196	420
122	25.76	70	196	420
123	25.76	70	196	420
124	25.51	70	196	420
125	25.25	70	196	420
126	25.25	70	196	420
127	25.25	70	196	420
128	26.02	70	196	420
129	25.76	70	196	420
130	25.51	70	196	420
131	25.76	70	196	420
132	25.76	70	196	420
133	25.25	70	196	420
134	26.02	70	196	420
135	25.51	70	196	420
136	26.27	70	196	420
137	25.25	70	196	420
138	26.27	70	196	420
139	26.02	70	196	420
140	26.02	80	231	493
141	26.27	80	231	493
142	26.78	80	231	493
143	26.78	80	231	493
144	26.78	80	231	493
145	26.78	80	231	493
146	26.78	80	231	493
147	26.53	80	231	493
148	26.78	80	231	493
149	26.53	80	231	493
150	26.53	80	231	493
151	27.04	80	231	493
152	26.78	80	231	493
153	26.53	80	231	493
154	27.04	80	231	493
155	26.78	80	231	493
156	27.04	80	231	493
157	26.78	80	231	493
158	27.04	80	231	493
159	27.04	80	231	493
160	26.53	90	267	563
161	27.29	90	267	563
162	27.8	90	267	563
163	27.55	90	267	563
164	27.55	90	267	563
165	27.55	90	267	563
166	27.8	90	267	563
167	27.29	90	267	563
168	27.8	90	267	563
169	28.06	90	267	563
170	28.06	90	267	563
171	27.29	90	267	563
172	27.29	90	267	563
173	28.06	90	267	563
174	28.06	90	267	563
175	27.55	90	267	563
176	27.8	90	267	563
177	28.06	90	267	563
178	27.8	90	267	563
179	27.55	90	267	563
180	27.55	100	300	650
181	28.31	100	300	650
182	28.82	100	300	650
183	29.08	100	300	650
184	28.31	100	300	650
185	28.57	100	300	650
186	28.57	100	300	650
187	28.82	100	300	650
188	29.08	100	300	650
189	28.57	100	300	650
190	28.82	100	300	650
191	28.82	100	300	650
192	29.08	100	300	650
193	28.57	100	300	650
194	28.82	100	300	650
195	29.08	100	300	650
196	29.08	100	300	650
197	28.82	100	300	650
198	28.57	100	300	650
199	29.08	100	300	650
200	29.08	110	334	722
201	29.08	110	334	722
202	29.85	110	334	722
203	29.85	110	334	722
204	30.1	110	334	722
205	29.59	110	334	722
206	29.34	110	334	722
207	30.1	110	334	722
208	29.59	110	334	722
209	29.85	110	334	722
210	29.59	110	334	722
211	29.34	110	334	722
212	29.34	110	334	722
213	30.36	110	334	722
214	29.85	110	334	722
215	29.85	110	334	722
216	29.59	110	334	722
217	30.36	110	334	722
218	29.85	110	334	722
219	30.1	110	334	722
220	30.1	120	368	770
221	30.61	120	368	770
222	30.61	120	368	770
223	31.38	120	368	770
224	30.87	120	368	770
225	30.36	120	368	770
226	31.12	120	368	770
227	30.87	120	368	770
228	31.12	120	368	770
229	31.12	120	368	770
230	30.87	120	368	770
231	31.12	120	368	770
232	30.36	120	368	770
233	30.87	120	368	770
234	31.12	120	368	770
235	30.87	120	368	770
236	30.87	120	368	770
237	31.12	120	368	770
238	31.12	120	368	770
239	31.12	120	368	770
