0	17.6	10	13.6	20
1	17.09	10	13.6	20
2	17.09	10	13.6	20
3	17.34	10	13.6	20
4	16.83	10	13.6	20
5	17.34	10	13.6	20
6	17.34	10	13.6	20
7	17.34	10	13.6	20
8	17.34	10	13.6	20
9	17.09	10	13.6	20
10	17.34	10	13.6	20
11	17.34	10	13.6	20
12	17.34	10	13.6	20
13	17.6	10	13.6	20
14	17.09	10	13.6	20
15	17.6	10	13.6	20
16	17.85	10	13.6	20
17	17.6	10	13.6	20
18	17.34	10	13.6	20
19	17.34	10	13.6	20
20	17.6	20	47.8	80
21	17.6	20	47.8	80
22	18.11	20	47.8	80
23	18.11	20	47.8	80
24	17.85	20	47.8	80
25	18.11	20	47.8	80
26	17.85	20	47.8	80
27	18.62	20	47.8	80
28	18.11	20	47.8	80
29	17.6	20	47.8	80
30	18.11	20	47.8	80
31	17.85	20	47.8	80
32	18.36	20	47.8	80
33	18.62	20	47.8	80
34	18.36	20	47.8	80
35	18.36	20	47.8	80
36	18.36	20	47.8	80
37	18.36	20	47.8	80
38	18.11	20	47.8	80
39	18.36	20	47.8	80
40	18.11	30	88.3	147
41	18.62	30	88.3	147
42	18.11	30	88.3	147
43	18.11	30	88.3	147
44	18.62	30	88.3	147
45	18.62	30	88.3	147
46	18.62	30	88.3	147
47	18.87	30	88.3	147
48	18.87	30	88.3	147
49	18.62	30	88.3	147
50	19.13	30	88.3	147
51	18.87	30	88.3	147
52	18.87	30	88.3	147
53	18.62	30	88.3	147
54	18.87	30	88.3	147
55	18.11	30	88.3	147
56	19.64	30	88.3	147
57	19.38	30	88.3	147
58	19.13	30	88.3	147
59	18.62	30	88.3	147
60	19.13	40	120.3	200
61	19.64	40	120.3	200
62	19.64	40	120.3	200
63	18.87	40	120.3	200
64	19.13	40	120.3	200
65	19.64	40	120.3	200
66	19.38	40	120.3	200
67	19.38	40	120.3	200
68	19.38	40	120.3	200
69	19.89	40	120.3	200
70	19.64	40	120.3	200
71	19.64	40	120.3	200
72	19.89	40	120.3	200
73	19.38	40	120.3	200
74	19.64	40	120.3	200
75	19.89	40	120.3	200
76	19.64	40	120.3	200
77	19.64	40	120.3	200
78	19.89	40	120.3	200
79	19.64	40	120.3	200
80	19.89	50	165	274
81	19.64	50	165	274
82	20.15	50	165	274
83	20.66	50	165	274
84	20.15	50	165	274
85	20.4	50	165	274
86	20.66	50	165	274
87	20.4	50	165	274
88	19.89	50	165	274
89	20.15	50	165	274
90	20.4	50	165	274
91	20.4	50	165	274
92	20.4	50	165	274
93	20.15	50	165	274
94	20.4	50	165	274
95	20.66	50	165	274
96	20.4	50	165	274
97	20.15	50	165	274
98	20.66	50	165	274
99	20.66	50	165	274
100	20.66	60	209	348
101	21.17	60	209	348
102	20.4	60	209	348
103	21.17	60	209	348
104	21.17	60	209	348
105	21.17	60	209	348
106	20.66	60	209	348
107	21.17	60	209	348
108	21.43	60	209	348
109	20.92	60	209	348
110	20.92	60	209	348
111	20.92	60	209	348
112	20.92	60	209	348
113	21.17	60	209	348
114	20.92	60	209	348
115	21.43	60	209	348
116	21.17	60	209	348
117	21.43	60	209	348
118	20.92	60	209	348
119	20.92	60	209	348
120	20.92	70	255	420
121	21.94	70	255	420
122	21.68	70	255	420
123	21.94	70	255	420
124	21.94	70	255	420
125	20.92	70	255	420
126	21.94	70	255	420
127	21.68	70	255	420
128	22.45	70	255	420
129	22.19	70	255	420
130	21.94	70	255	420
131	21.68	70	255	420
132	22.19	70	255	420
133	21.68	70	255	420
134	21.68	70	255	420
135	21.94	70	255	420
136	21.94	70	255	420
137	21.68	70	255	420
138	22.19	70	255	420
139	22.19	70	255	420
140	21.94	80	301	493
141	22.45	80	301	493
142	22.7	80	301	493
143	22.45	80	301	493
144	22.7	80	301	493
145	23.21	80	301	493
146	22.45	80	301	493
147	22.96	80	301	493
148	22.7	80	301	493
149	22.7	80	301	493
150	22.96	80	301	493
151	22.96	80	301	493
152	23.21	80	301	493
153	22.7	80	301	493
154	22.96	80	301	493
155	22.96	80	301	493
156	22.45	80	301	493
157	22.45	80	301	493
158	22.96	80	301	493
159	22.96	80	301	493
160	23.21	90	350	563
161	22.96	90	350	563
162	22.96	90	350	563
163	23.47	90	350	563
164	23.47	90	350	563
165	23.47	90	350	563
166	23.47	90	350	563
167	23.21	90	350	563
168	23.47	90	350	563
169	23.72	90	350	563
170	23.47	90	350	563
171	23.98	90	350	563
172	23.47	90	350	563
173	23.47	90	350	563
174	23.72	90	350	563
175	23.47	90	350	563
176	24.23	90	350	563
177	23.47	90	350	563
178	23.21	90	350	563
179	23.47	90	350	563
180	23.47	100	397	650
181	24.23	100	397	650
182	23.98	100	397	650
183	23.98	100	397	650
184	23.98	100	397	650
185	23.98	100	397	650
186	24.23	100	397	650
187	24.23	100	397	650
188	24.23	100	397	650
189	24.49	100	397	650
190	24.23	100	397	650
191	24.49	100	397	650
192	24.23	100	397	650
193	24.23	100	397	650
194	24.74	100	397	650
195	23.98	100	397	650
196	24.49	100	397	650
197	24.74	100	397	650
198	24.23	100	397	650
199	24.23	100	397	650
200	24.49	110	439	722
201	24.74	110	439	722
202	23.98	110	439	722
203	24.23	110	439	722
204	24.74	110	439	722
205	24.49	110	439	722
206	24.74	110	439	722
207	24.74	110	439	722
208	25.25	110	439	722
209	25	110	439	722
210	25.25	110	439	722
211	25	110	439	722
212	25.51	110	439	722
213	25.25	110	439	722
214	24.74	110	439	722
215	25.51	110	439	722
216	25.25	110	439	722
217	25	110	439	722
218	25	110	439	722
219	25.51	110	439	722
220	24.74	120	485	770
221	25.25	120	485	770
222	24.74	120	485	770
223	25.51	120	485	770
224	25.51	120	485	770
225	25.25	120	485	770
226	25	120	485	770
227	25.25	120	485	770
228	25.51	120	485	770
229	25.25	120	485	770
230	25.51	120	485	770
231	25.76	120	485	770
232	25.76	120	485	770
233	26.02	120	485	770
234	25.76	120	485	770
235	26.02	120	485	770
236	26.27	120	485	770
237	26.02	120	485	770
238	25.76	120	485	770
239	25.76	120	485	770
